2023/01/24 11:31:58 app,line: 26     INFO | dash-trading started
2023/01/24 11:35:05 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:35:05 app,line: 26     INFO | dash-trading started
2023/01/24 11:35:07 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:35:08 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:35:08 app,line: 26     INFO | dash-trading started
2023/01/24 11:35:51 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:35:51 app,line: 26     INFO | dash-trading started
2023/01/24 11:35:52 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:35:53 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:35:53 app,line: 26     INFO | dash-trading started
2023/01/24 11:41:16 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:41:16 app,line: 26     INFO | dash-trading started
2023/01/24 11:41:17 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:41:19 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:41:19 app,line: 26     INFO | dash-trading started
2023/01/24 11:46:32 Value_investing,line: 158    ERROR | 'NoneType' object is not subscriptable
2023/01/24 11:51:20 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:51:20 app,line: 26     INFO | dash-trading started
2023/01/24 11:51:21 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:51:22 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:51:22 app,line: 26     INFO | dash-trading started
2023/01/24 11:52:07 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:52:07 app,line: 26     INFO | dash-trading started
2023/01/24 11:52:09 dash,line: 1968     INFO | Dash is running on http://127.0.0.1:8055/

2023/01/24 11:52:10 app,line: 22     INFO | Logger object created successfully..
2023/01/24 11:52:10 app,line: 26     INFO | dash-trading started
